Ticker,Year,Beta,Current Assets,Cash And Cash Equivalents,Current Liabilities,Total Liabilities Net Minority Interest,Depreciation And Amortization,Capital Expenditure,Net Income,Interest Expense,Tax Rate For Calcs,fullTimeEmployees,CPI,PPI,Unemployment Rate,Federal Funds Rate,Inflation Rate,Overnight Lending Rate,10 Year Treasury Rate,Market_Cap_2020,Market_Cap_2021,Market_Cap_2022,country_Australia,country_Bahamas,country_Belgium,country_Bermuda,country_Brazil,country_British Virgin Islands,country_Canada,country_Cayman Islands,country_China,country_Colombia,country_Costa Rica,country_Cyprus,country_Denmark,country_France,country_Germany,country_Greece,country_Hong Kong,country_India,country_Ireland,country_Israel,country_Italy,country_Jersey,country_Kazakhstan,country_Luxembourg,country_Malaysia,country_Mexico,country_Monaco,country_Netherlands,country_Norway,country_Panama,country_Philippines,country_Singapore,country_South Africa,country_South Korea,country_Spain,country_Sweden,country_Switzerland,country_Taiwan,country_United Arab Emirates,country_United Kingdom,country_United States,industry_Aerospace & Defense,industry_Agricultural Inputs,industry_Airlines,industry_Airports & Air Services,industry_Aluminum,industry_Apparel Manufacturing,industry_Apparel Retail,industry_Asset Management,industry_Auto & Truck Dealerships,industry_Auto Manufacturers,industry_Auto Parts,industry_Beverages—Non-Alcoholic,industry_Beverages—Wineries & Distilleries,industry_Biotechnology,industry_Broadcasting,industry_Building Materials,industry_Building Products & Equipment,industry_Business Equipment & Supplies,industry_Capital Markets,industry_Chemicals,industry_Coking Coal,industry_Communication Equipment,industry_Computer Hardware,industry_Confectioners,industry_Conglomerates,industry_Consulting Services,industry_Consumer Electronics,industry_Copper,industry_Credit Services,industry_Department Stores,industry_Diagnostics & Research,industry_Discount Stores,industry_Drug Manufacturers - General,industry_Drug Manufacturers - Specialty & Generic,industry_Drug Manufacturers—General,industry_Drug Manufacturers—Specialty & Generic,industry_Education & Training Services,industry_Electrical Equipment & Parts,industry_Electronic Components,industry_Electronic Gaming & Multimedia,industry_Electronics & Computer Distribution,industry_Engineering & Construction,industry_Entertainment,industry_Farm & Heavy Construction Machinery,industry_Farm Products,industry_Financial Conglomerates,industry_Financial Data & Stock Exchanges,industry_Food Distribution,industry_Footwear & Accessories,"industry_Furnishings, Fixtures & Appliances",industry_Gambling,industry_Gold,industry_Grocery Stores,industry_Health Information Services,industry_Healthcare Plans,industry_Home Improvement Retail,industry_Household & Personal Products,industry_Industrial Distribution,industry_Information Technology Services,industry_Infrastructure Operations,industry_Insurance - Life,industry_Insurance Brokers,industry_Insurance—Specialty,industry_Integrated Freight & Logistics,industry_Internet Content & Information,industry_Internet Retail,industry_Leisure,industry_Lodging,industry_Lumber & Wood Production,industry_Luxury Goods,industry_Marine Shipping,industry_Medical Care Facilities,industry_Medical Devices,industry_Medical Distribution,industry_Medical Instruments & Supplies,industry_Metal Fabrication,industry_Mortgage Finance,industry_Oil & Gas Drilling,industry_Oil & Gas E&P,industry_Oil & Gas Equipment & Services,industry_Oil & Gas Integrated,industry_Oil & Gas Midstream,industry_Oil & Gas Refining & Marketing,industry_Other Industrial Metals & Mining,industry_Other Precious Metals & Mining,industry_Packaged Foods,industry_Packaging & Containers,industry_Paper & Paper Products,industry_Personal Services,industry_Pharmaceutical Retailers,industry_Pollution & Treatment Controls,industry_Publishing,industry_REIT - Diversified,industry_REIT - Hotel & Motel,industry_REIT - Office,industry_REIT - Residential,industry_REIT - Retail,industry_REIT—Diversified,industry_REIT—Healthcare Facilities,industry_REIT—Hotel & Motel,industry_REIT—Industrial,industry_REIT—Office,industry_REIT—Residential,industry_REIT—Retail,industry_REIT—Specialty,industry_Railroads,industry_Real Estate Services,industry_Real Estate—Development,industry_Real Estate—Diversified,industry_Recreational Vehicles,industry_Rental & Leasing Services,industry_Residential Construction,industry_Resorts & Casinos,industry_Restaurants,industry_Scientific & Technical Instruments,industry_Security & Protection Services,industry_Semiconductor Equipment & Materials,industry_Semiconductors,industry_Shell Companies,industry_Software - Application,industry_Software - Infrastructure,industry_Software—Application,industry_Software—Infrastructure,industry_Solar,industry_Specialty Business Services,industry_Specialty Chemicals,industry_Specialty Industrial Machinery,industry_Specialty Retail,industry_Staffing & Employment Services,industry_Steel,industry_Telecom Services,industry_Textile Manufacturing,industry_Tobacco,industry_Tools & Accessories,industry_Travel Services,industry_Trucking,industry_Uranium,industry_Utilities - Diversified,industry_Utilities - Regulated Water,industry_Utilities - Renewable,industry_Utilities—Diversified,industry_Utilities—Independent Power Producers,industry_Utilities—Regulated Electric,industry_Utilities—Regulated Gas,industry_Utilities—Regulated Water,industry_Utilities—Renewable,industry_Waste Management
AA,2023,1.3228234375233832,-0.028051562917830532,-0.029084593820909107,-0.03137105366539686,-0.03063903946727187,-0.03366515658494102,0.0343716463174231,0.004773255568554937,-0.04153473553533903,0.3454390409965958,0.36353241159790095,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.02441824301878465,-0.01223166022905033,0.2063264363215524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADI,2023,-0.6461556870458294,-0.0384576094676711,-0.0392699652281934,-0.03799354810618825,-0.04027270443230523,-0.03831243102541865,0.03815233089206867,0.01325288368979691,-0.0467276193669273,-1.6880466326593877,-0.35246500694808736,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.027473491957190652,-0.028527597094767213,-0.07962708231406081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAL,2023,0.30324432231846365,-0.0057658146882460905,-0.03331543613728438,0.01059162591368952,0.039088609036604605,-0.02173494242568845,0.01955817597686606,0.026115950763800307,0.057586706538454796,0.8947319377766404,6.9149352509174395,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.017740844345011025,-0.010515533526935128,0.185776555753046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAOI,2023,0.9747152222050772,-0.0383408712387809,-0.039472513914170254,-0.03784590482578396,-0.04010162569851396,-0.038163428387663935,0.03811147727773962,0.013393675929587949,-0.046280308325341094,-1.6880466326593877,-0.24244589141541112,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.027594882216717537,-0.02913395668857588,-0.08793340755994852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAON,2023,0.1596046392678063,-0.03776628693548494,-0.03999361265947047,-0.03777228272438499,-0.04006452872855514,-0.03796950724320728,0.037395380491649664,0.016779398216735388,-0.046503307251694555,0.2873394503207105,-0.15211273594918776,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.024072184641247812,-0.02464853080920377,0.009206359838430843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAP,2023,0.06693939926848477,-0.023257413958579595,-0.03417696741323283,-0.02634972031699368,-0.02895650607493808,-0.03605962853234425,0.036441866458881214,0.01463660900625715,-0.04245615639897398,-1.0458815401839407,1.760600545346171,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.01729372848991441,-0.013162297871466189,0.22202091062885795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAT,2023,0.1188108837267602,-0.03829814736626135,-0.03903877165899256,-0.03783540754134323,-0.03817473615268846,-0.037434721786307815,0.03758555962588623,0.015143081450622256,-0.04359177295980863,-1.5346927630703886,-0.34410376584459396,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.026615874783256263,-0.026796003206825337,-0.042963857748478475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABAT,2023,-1.4438817909325252,-0.038715741864016835,-0.039915991892382485,-0.038016912230327646,-0.040285522349038476,-0.03830058332979987,0.03808979623233403,0.013445057432287673,-0.046731166046907135,-1.6880466326593877,-0.3510891065133353,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.027998358984191368,-0.02718792762713739,-0.07079698496202058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABEO,2023,-0.28262865471159193,-0.03862498717901163,-0.03982962706083632,-0.038022151607773974,-0.04024717678544346,-0.03829015197567242,0.038178449945584385,0.013420625972400681,-0.04671852431802259,-1.6880466326593877,-0.35172413748322084,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.026760498329233568,-0.027835700065164348,-0.08721574982996748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABG,2023,0.570104413044337,-0.031328421218109456,-0.0394686529815646,-0.03171126181267791,-0.03226121046591001,-0.03781572369348986,0.037160022066272745,0.022935555926491172,-0.03867976563851288,0.7134031152772023,0.43761935808455166,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.02566962240545185,-0.023996628196471217,0.014161916798594512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL,2023,-1.6742106101814223,-0.038683236358352205,-0.039701133512887746,-0.03800031405690185,-0.040109256786577056,-0.0382885931924256,0.038179463760843156,0.0143436595197497,-0.04625896555285225,-0.3323895168887318,-0.3507715910283925,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.027250117894903912,-0.028511167735321676,-0.0654969190078646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABM,2023,-0.46248773011241295,-0.03460163289219176,-0.03919353263421561,-0.03536645991094448,-0.03665946072141308,-0.037425895487299736,0.037803493392930355,0.01784692418679655,-0.042736060176763326,0.6456202594886695,6.152898087054747,307.531,255.192,3.8,5.33,4.11633838374488,5.33,4.59,-0.025425325076692568,-0.025796475408780533,-0.011213517623416729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
